
Table 1 : anger N =    941 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Without_CNN   Without_LE    0.756  0.698  0.842  | [ 0.0345   0.0584   0.0843]  
Without_CNN   Without_LE    0.755  0.692  0.827  | [ 0.0385   0.0623   0.0893]  
Without_CNN   Without_LE    0.753  0.697  0.834  | [ 0.0332   0.0568   0.0830]  
Without_CNN   Without_LE    0.757  0.701  0.826  | [ 0.0315   0.0560   0.0814]  
Without_CNN   Without_LE    0.748  0.699  0.837  | [ 0.0243   0.0493   0.0764]  
Without_CNN   Without_LE    0.757  0.693  0.839  | [ 0.0404   0.0636   0.0898]  
Without_CNN   Without_LE    0.757  0.700  0.836  | [ 0.0329   0.0573   0.0832]  
Without_CNN   Without_LE    0.754  0.687  0.832  | [ 0.0419   0.0670   0.0926]  

Table 2 : fear N =   1257 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Full_model    Without_FC    0.793  0.792  0.994  | [-0.0038   0.0001   0.0041]  
Full_model    Without_FC    0.800  0.797  0.993  | [-0.0016   0.0025   0.0069]  
Full_model    Without_FC    0.799  0.796  0.993  | [-0.0015   0.0025   0.0070]  
Full_model    Without_FC    0.799  0.797  0.994  | [-0.0019   0.0017   0.0054]  
Full_model    Without_FC    0.795  0.792  0.991  | [-0.0025   0.0028   0.0081]  
Full_model    Without_FC    0.790  0.787  0.993  | [-0.0015   0.0026   0.0069]  
Full_model    Without_FC    0.793  0.797  0.992  | [-0.0086  -0.0042   0.0001]  
Full_model    Without_FC    0.794  0.795  0.993  | [-0.0050  -0.0012   0.0028]  
Full_model    Without_FC    0.794  0.793  0.993  | [-0.0041   0.0005   0.0050]  
Full_model    Without_FC    0.799  0.797  0.993  | [-0.0030   0.0014   0.0055]  
Full_model    Without_FC    0.793  0.790  0.992  | [-0.0015   0.0029   0.0074]  
Full_model    Without_FC    0.793  0.794  0.993  | [-0.0048  -0.0008   0.0033]  
