
Table 1 : anger Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without CNN   0.793  0.770  0.953  |  0.0228   0.0001  
Full model    Without CNN   0.797  0.773  0.953  |  0.0238   0.0001  
Full model    Without CNN   0.792  0.770  0.952  |  0.0220   0.0007  
Full model    Without CNN   0.795  0.773  0.953  |  0.0218   0.0003  
Full model    Without CNN   0.798  0.778  0.954  |  0.0196   0.0004  
Full model    Without CNN   0.790  0.772  0.955  |  0.0186   0.0004  
Full model    Without CNN   0.795  0.774  0.950  |  0.0210   0.0006  
Full model    Without LE    0.793  0.750  0.918  |  0.0424   0.0001  
Full model    Without LE    0.800  0.752  0.923  |  0.0471   0.0001  
Full model    Without LE    0.799  0.752  0.913  |  0.0461   0.0001  
Full model    Without LE    0.799  0.753  0.916  |  0.0460   0.0001  
Full model    Without LE    0.795  0.745  0.915  |  0.0505   0.0001  
Full model    Without LE    0.790  0.744  0.919  |  0.0458   0.0001  
Full model    Without LE    0.793  0.743  0.919  |  0.0506   0.0001  
Full model    Without LE    0.794  0.738  0.909  |  0.0562   0.0001  
Full model    Without LE    0.794  0.745  0.912  |  0.0490   0.0001  
Full model    Without LE    0.799  0.746  0.916  |  0.0531   0.0001  
Full model    Without LE    0.793  0.742  0.912  |  0.0515   0.0001  
Full model    Without LE    0.793  0.744  0.915  |  0.0491   0.0001  
Full model    Without LE    0.799  0.756  0.920  |  0.0421   0.0001  
Full model    Without LE    0.793  0.753  0.921  |  0.0399   0.0001  
Full model    Without LE    0.797  0.747  0.918  |  0.0502   0.0001  
Full model    Without LE    0.792  0.744  0.917  |  0.0477   0.0001  
Full model    Without LE    0.795  0.745  0.911  |  0.0504   0.0001  
Full model    Without LE    0.798  0.754  0.921  |  0.0435   0.0001  
Full model    Without LE    0.790  0.739  0.911  |  0.0513   0.0001  
Full model    Without LE    0.795  0.746  0.915  |  0.0496   0.0001  
Without FC    Without CNN   0.792  0.767  0.952  |  0.0255   0.0001  
Without FC    Without CNN   0.797  0.773  0.950  |  0.0242   0.0001  
Without FC    Without CNN   0.796  0.773  0.954  |  0.0233   0.0001  
Without FC    Without CNN   0.797  0.775  0.954  |  0.0219   0.0002  
Without FC    Without CNN   0.792  0.773  0.950  |  0.0192   0.0008  
Without FC    Without CNN   0.787  0.769  0.953  |  0.0185   0.0027  
Without FC    Without CNN   0.797  0.768  0.953  |  0.0291   0.0001  
Without FC    Without CNN   0.795  0.770  0.953  |  0.0254   0.0001  
Without FC    Without CNN   0.793  0.771  0.952  |  0.0224   0.0005  
Without FC    Without CNN   0.797  0.773  0.951  |  0.0249   0.0001  
Without FC    Without CNN   0.790  0.767  0.950  |  0.0234   0.0001  
Without FC    Without CNN   0.794  0.773  0.953  |  0.0209   0.0001  
Without FC    Without CNN   0.794  0.769  0.953  |  0.0249   0.0001  
Without FC    Without CNN   0.794  0.770  0.952  |  0.0243   0.0001  
Without FC    Without CNN   0.796  0.773  0.951  |  0.0227   0.0001  
Without FC    Without CNN   0.792  0.770  0.955  |  0.0222   0.0001  
Without FC    Without CNN   0.795  0.773  0.955  |  0.0221   0.0001  
Without FC    Without CNN   0.799  0.778  0.954  |  0.0204   0.0001  
Without FC    Without CNN   0.791  0.772  0.957  |  0.0194   0.0003  
Without FC    Without CNN   0.793  0.774  0.950  |  0.0186   0.0024  
Without FC    Without LE    0.792  0.750  0.919  |  0.0423   0.0001  
Without FC    Without LE    0.797  0.752  0.919  |  0.0445   0.0001  
Without FC    Without LE    0.796  0.752  0.914  |  0.0436   0.0001  
Without FC    Without LE    0.797  0.753  0.917  |  0.0443   0.0001  
Without FC    Without LE    0.792  0.745  0.911  |  0.0477   0.0001  
Without FC    Without LE    0.787  0.744  0.918  |  0.0431   0.0001  
Without FC    Without LE    0.797  0.743  0.918  |  0.0548   0.0001  
Without FC    Without LE    0.795  0.738  0.911  |  0.0574   0.0001  
Without FC    Without LE    0.793  0.745  0.915  |  0.0485   0.0001  
Without FC    Without LE    0.797  0.746  0.913  |  0.0516   0.0001  
Without FC    Without LE    0.790  0.742  0.914  |  0.0486   0.0001  
Without FC    Without LE    0.794  0.744  0.914  |  0.0498   0.0001  
Without FC    Without LE    0.794  0.756  0.917  |  0.0377   0.0001  
Without FC    Without LE    0.794  0.753  0.922  |  0.0414   0.0001  
Without FC    Without LE    0.796  0.747  0.915  |  0.0490   0.0001  
Without FC    Without LE    0.792  0.744  0.915  |  0.0479   0.0001  
Without FC    Without LE    0.795  0.745  0.913  |  0.0507   0.0001  
Without FC    Without LE    0.799  0.754  0.919  |  0.0444   0.0001  
Without FC    Without LE    0.791  0.739  0.909  |  0.0520   0.0001  
Without FC    Without LE    0.793  0.746  0.919  |  0.0473   0.0001  
Without CNN   Without LE    0.767  0.750  0.829  |  0.0168   0.1609  
Without CNN   Without LE    0.773  0.752  0.832  |  0.0203   0.0950  
Without CNN   Without LE    0.773  0.752  0.827  |  0.0203   0.0861  
Without CNN   Without LE    0.775  0.753  0.832  |  0.0223   0.0612  
Without CNN   Without LE    0.773  0.745  0.820  |  0.0286   0.0193  
Without CNN   Without LE    0.769  0.744  0.829  |  0.0246   0.0434  
Without CNN   Without LE    0.768  0.743  0.831  |  0.0256   0.0370  
Without CNN   Without LE    0.770  0.738  0.821  |  0.0320   0.0101  
Without CNN   Without LE    0.771  0.745  0.826  |  0.0262   0.0324  
Without CNN   Without LE    0.773  0.746  0.828  |  0.0267   0.0255  
Without CNN   Without LE    0.767  0.742  0.821  |  0.0252   0.0502  
Without CNN   Without LE    0.773  0.744  0.827  |  0.0289   0.0152  
Without CNN   Without LE    0.769  0.756  0.834  |  0.0128   0.2672  
Without CNN   Without LE    0.770  0.753  0.840  |  0.0171   0.1382  
Without CNN   Without LE    0.773  0.747  0.825  |  0.0263   0.0291  
Without CNN   Without LE    0.770  0.744  0.827  |  0.0257   0.0361  
Without CNN   Without LE    0.773  0.745  0.827  |  0.0286   0.0201  
Without CNN   Without LE    0.778  0.754  0.833  |  0.0239   0.0331  
Without CNN   Without LE    0.772  0.739  0.826  |  0.0326   0.0063  
Without CNN   Without LE    0.774  0.746  0.830  |  0.0286   0.0185  

Table 3 : joy Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without FC    0.795  0.796  0.994  | -0.0008   0.7493  
Full model    Without FC    0.799  0.804  0.994  | -0.0046   0.0469  
Full model    Without FC    0.802  0.801  0.994  |  0.0014   0.5516  
Full model    Without FC    0.806  0.800  0.993  |  0.0054   0.0315  
Full model    Without FC    0.803  0.802  0.995  |  0.0007   0.7676  
Full model    Without FC    0.799  0.802  0.995  | -0.0026   0.2444  
Full model    Without FC    0.800  0.800  0.994  |  0.0002   0.9288  
Full model    Without FC    0.805  0.801  0.994  |  0.0034   0.1597  
